timestamp,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2024-01-01 00:00:00-05:00,160.3234636024425,160.3234636024425,-70.3234636024425,-70.3234636024425,4.50951375253112,-3.174154713335156
2024-01-01 00:15:00-05:00,159.86500493482458,159.86500493482458,-69.86500493482458,-69.86500493482458,14.562985988911578,-3.179089131153887
2024-01-01 00:30:00-05:00,158.95162191127923,158.95162191127923,-68.95162191127925,-68.95162191127925,24.03241399970136,-3.1840230345187592
2024-01-01 00:45:00-05:00,157.6400844857883,157.6400844857883,-67.6400844857883,-67.6400844857883,32.67036892405554,-3.188956423095078
2024-01-01 01:00:00-05:00,155.99712301176976,155.99712301176976,-65.99712301176976,-65.99712301176976,40.38513861625438,-3.1938892959224177
2024-01-01 01:15:00-05:00,154.08764971889886,154.08764971889886,-64.08764971889886,-64.08764971889886,47.20165935762469,-3.198821652615152
2024-01-01 01:30:00-05:00,151.96836056869455,151.96836056869455,-61.96836056869456,-61.96836056869456,53.20915283100669,-3.2037534928313107
2024-01-01 01:45:00-05:00,149.68580840705226,149.68580840705226,-59.68580840705228,-59.68580840705228,58.52040360481817,-3.2086848156468477
2024-01-01 02:00:00-05:00,147.276979723257,147.276979723257,-57.27697972325699,-57.27697972325699,63.24791546658446,-3.213615620668861
2024-01-01 02:15:00-05:00,144.77084437274132,144.77084437274132,-54.77084437274132,-54.77084437274132,67.49292840516648,-3.2185459075772087
2024-01-01 02:30:00-05:00,142.19004484219926,142.19004484219926,-52.190044842199256,-52.190044842199256,71.34197357444299,-3.2234756753532565
2024-01-01 02:45:00-05:00,139.5523812384263,139.5523812384263,-49.55238123842631,-49.55238123842631,74.86711948609371,-3.2284049236914143
2024-01-01 03:00:00-05:00,136.8720051815473,136.8720051815473,-46.872005181547294,-46.872005181547294,78.12769604589357,-3.2333336522133322
2024-01-01 03:15:00-05:00,134.16033861663658,134.16033861663658,-44.16033861663657,-44.16033861663657,81.17239679915139,-3.23826185996586
2024-01-01 03:30:00-05:00,131.42676609534323,131.42676609534323,-41.42676609534324,-41.42676609534324,84.04127888338286,-3.2431895465851994
2024-01-01 03:45:00-05:00,128.67915468971677,128.67915468971677,-38.67915468971678,-38.67915468971678,86.76748675750991,-3.2481167117803125
2024-01-01 04:00:00-05:00,125.92424454269798,125.92424454269798,-35.924244542697984,-35.924244542697984,89.37867097156214,-3.2530433544670814
2024-01-01 04:15:00-05:00,123.1679432329602,123.1679432329602,-33.1679432329602,-33.1679432329602,91.8981294145023,-3.2579694743908476
2024-01-01 04:30:00-05:00,120.41555182100299,120.41555182100299,-30.415551821003,-30.415551821003,94.34571291884481,-3.2628950711587095
2024-01-01 04:45:00-05:00,117.67194028717797,117.67194028717797,-27.671940287177975,-27.671940287177975,96.73854117793093,-3.2678201438466203
2024-01-01 05:00:00-05:00,114.94168493890953,114.94168493890953,-24.941684938909535,-24.941684938909535,99.09156909545834,-3.2727446920398506
2024-01-01 05:15:00-05:00,112.22917993835968,112.22917993835968,-22.229179938359675,-22.229179938359675,101.41803373207279,-3.277668715440086
2024-01-01 05:30:00-05:00,109.53872904172407,109.53872904172407,-19.538729041724064,-19.538729041724064,103.72980821826883,-3.2825922130432446
2024-01-01 05:45:00-05:00,106.87462170150174,106.87462170150174,-16.87462170150174,-16.87462170150174,106.0376830724764,-3.287515184521908
2024-01-01 06:00:00-05:00,104.24119951124679,104.24119951124679,-14.241199511246792,-14.241199511246792,108.35158784997259,-3.2924376295195543
2024-01-01 06:15:00-05:00,101.64291457570718,101.64291457570718,-11.642914575707179,-11.642914575707179,110.68076506324758,-3.2973595470612054
2024-01-01 06:30:00-05:00,99.08438064943616,99.08438064943616,-9.084380649436149,-9.084380649436149,113.03390527449847,-3.302280936819443
2024-01-01 06:45:00-05:00,96.5704203721528,96.5704203721528,-6.570420372152799,-6.570420372152799,115.41924707200303,-3.3072017984159174
2024-01-01 07:00:00-05:00,94.10610813916759,94.10610813916759,-4.106108139167587,-4.106108139167587,117.84464646822659,-3.312122130897478
2024-01-01 07:15:00-05:00,91.69680775889728,91.69680775889728,-1.6968077588972774,-1.6968077588972774,120.31761877339562,-3.3170419339003274
2024-01-01 07:30:00-05:00,88.95719554519067,89.3482065561257,1.0428044548093287,0.6517934438742901,122.84535184928012,-3.321961207111599
2024-01-01 07:45:00-05:00,86.84027337531286,87.06634398266701,3.1597266246871394,2.9336560173329875,125.43469151631757,-3.3268799495053827
2024-01-01 08:00:00-05:00,84.70296279767177,84.85763247357741,5.297037202328222,5.142367526422588,128.0920993666271,-3.3317981607833644
2024-01-01 08:15:00-05:00,82.61187128933581,82.72887053596813,7.388128710664197,7.271129464031872,130.8235798430893,-3.3367158405526425
2024-01-01 08:30:00-05:00,80.59303230559826,80.68724462926872,9.40696769440174,9.312755370731288,133.63457654739295,-3.341632987910998
2024-01-01 08:45:00-05:00,78.66119325849186,78.74031614922731,11.338806741508138,11.25968385077269,136.52983865434493,-3.3465496024218737
2024-01-01 09:00:00-05:00,76.82750054302505,76.89599195369516,13.17249945697494,13.104008046304843,139.51325633645718,-3.351465683808783
2024-01-01 09:15:00-05:00,75.10180758301752,75.16247401431443,14.898192416982484,14.837525985685573,142.58766951534056,-3.356381231060368
2024-01-01 09:30:00-05:00,73.49345831649941,73.54818421174238,16.50654168350058,16.451815788257626,145.75465760202792,-3.3612962438564864
2024-01-01 09:45:00-05:00,72.01154467137522,72.06166299622055,17.988455328624777,17.938337003779452,149.01431809604992,-3.3662107218260644
2024-01-01 10:00:00-05:00,70.66494342034736,70.71143942893144,19.335056579652637,19.288560571068555,152.36504984192925,-3.3711246640013997
2024-01-01 10:15:00-05:00,69.46224165203202,69.50587231178504,20.537758347967973,20.494127688214963,155.80336147454454,-3.3760380700259702
