timestamp,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2024-01-01 00:00:00-06:00,158.85150670350924,158.85150670350924,-68.85150670350924,-68.85150670350924,350.6229440810458,-3.1938892959224177
2024-01-01 00:15:00-06:00,159.06641494035733,159.06641494035733,-69.06641494035732,-69.06641494035732,0.22193368090728427,-3.198821652615152
2024-01-01 00:30:00-06:00,158.8292086817359,158.8292086817359,-68.8292086817359,-68.8292086817359,9.812055483129939,-3.2037534928313107
2024-01-01 00:45:00-06:00,158.1549095214391,158.1549095214391,-68.15490952143908,-68.15490952143908,19.049167356504768,-3.2086848156468477
2024-01-01 01:00:00-06:00,157.0829162628217,157.0829162628217,-67.0829162628217,-67.0829162628217,27.66956674468321,-3.213615620668861
2024-01-01 01:15:00-06:00,155.66707028737738,155.66707028737738,-65.66707028737737,-65.66707028737737,35.527563060070406,-3.2185459075772087
2024-01-01 01:30:00-06:00,153.96517118667236,153.96517118667236,-63.96517118667236,-63.96517118667236,42.586526225284786,-3.2234756753532565
2024-01-01 01:45:00-06:00,152.03151792708059,152.03151792708059,-62.031517927080586,-62.031517927080586,48.885041387104934,-3.2284049236914143
2024-01-01 02:00:00-06:00,149.91320950733638,149.91320950733638,-59.91320950733639,-59.91320950733639,54.50135399993076,-3.2333336522133322
2024-01-01 02:15:00-06:00,147.64923054234424,147.64923054234424,-57.64923054234425,-57.64923054234425,59.52740080106952,-3.23826185996586
2024-01-01 02:30:00-06:00,145.271045171613,145.271045171613,-55.271045171613004,-55.271045171613004,64.05368073919823,-3.2431895465851994
2024-01-01 02:45:00-06:00,142.80377616507263,142.80377616507263,-52.80377616507263,-52.80377616507263,68.16210690295759,-3.2481167117803125
2024-01-01 03:00:00-06:00,140.26746337717196,140.26746337717196,-50.26746337717197,-50.26746337717197,71.9236264223589,-3.2530433544670814
2024-01-01 03:15:00-06:00,137.6781832529369,137.6781832529369,-47.6781832529369,-47.6781832529369,75.39828633249556,-3.2579694743908476
2024-01-01 03:30:00-06:00,135.04896860216778,135.04896860216778,-45.048968602167776,-45.048968602167776,78.63635664930513,-3.2628950711587095
2024-01-01 03:45:00-06:00,132.3905337550128,132.3905337550128,-42.390533755012804,-42.390533755012804,81.67978143597065,-3.2678201438466203
