timestamp,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2024-01-01 00:00:00+00:00,120.38945146962713,120.38945146962713,-30.389451469627133,-30.389451469627133,266.6611435320099,-3.0753591812608647
2024-01-01 00:15:00+00:00,123.05032052138725,123.05032052138725,-33.05032052138725,-33.05032052138725,269.24161283134043,-3.0803037708537886
2024-01-01 00:30:00+00:00,125.71275446424895,125.71275446424895,-35.71275446424894,-35.71275446424894,271.89909548703486,-3.085247857357899
2024-01-01 00:45:00+00:00,128.37096460581168,128.37096460581168,-38.37096460581168,-38.37096460581168,274.6533378790535,-3.090191439834598
2024-01-01 01:00:00+00:00,131.01849695783685,131.01849695783685,-41.01849695783684,-41.01849695783684,277.52728981343904,-3.0951345178473275
2024-01-01 01:15:00+00:00,133.6480054605849,133.6480054605849,-43.64800546058491,-43.64800546058491,280.5478523585739,-3.100077091177809
2024-01-01 01:30:00+00:00,136.2509619615277,136.2509619615277,-46.25096196152772,-46.25096196152772,283.74677767288387,-3.105019158698269
2024-01-01 01:45:00+00:00,138.817284253453,138.817284253453,-48.817284253453025,-48.817284253453025,287.1617245952332,-3.109960720183153
2024-01-01 02:00:00+00:00,141.33485597073178,141.33485597073178,-51.334855970731766,-51.334855970731766,290.8374351111296,-3.1149017752468353
2024-01-01 02:15:00+00:00,143.78891262376607,143.78891262376607,-53.78891262376608,-53.78891262376608,294.82692503890155,-3.1198423228779575
2024-01-01 02:30:00+00:00,146.16127083517256,146.16127083517256,-56.16127083517256,-56.16127083517256,299.19243434509417,-3.1247823627491016
2024-01-01 02:45:00+00:00,148.42939192373248,148.42939192373248,-58.42939192373248,-58.42939192373248,304.00560481756304,-3.1297218945692293
2024-01-01 03:00:00+00:00,150.56532200041198,150.56532200041198,-60.565322000411996,-60.565322000411996,309.3458985707709,-3.134660917239671
2024-01-01 03:15:00+00:00,152.5346567510009,152.5346567510009,-62.53465675100091,-62.53465675100091,315.29560701195476,-3.1395994305348722
