timestamp,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2024-01-01 00:00:00+00:00,103.64916009140357,103.64916009140357,-13.64916009140357,-13.64916009140357,251.21812796560084,-3.0753591812608647
2024-01-01 00:15:00+00:00,106.43068666374192,106.43068666374192,-16.430686663741923,-16.430686663741923,253.3302500357297,-3.0803037708537886
2024-01-01 00:30:00+00:00,109.24299142497016,109.24299142497016,-19.24299142497016,-19.24299142497016,255.42825920942227,-3.085247857357899
2024-01-01 00:45:00+00:00,112.08216635397396,112.08216635397396,-22.082166353973957,-22.082166353973957,257.5217445688648,-3.090191439834598
2024-01-01 01:00:00+00:00,114.94441895879955,114.94441895879955,-24.94441895879954,-24.94441895879954,259.62104874146416,-3.0951345178473275
2024-01-01 01:15:00+00:00,117.82601188534919,117.82601188534919,-27.826011885349185,-27.826011885349185,261.73750586668655,-3.100077091177809
2024-01-01 01:30:00+00:00,120.72319430159321,120.72319430159321,-30.72319430159321,-30.72319430159321,263.8837463633149,-3.105019158698269
2024-01-01 01:45:00+00:00,123.6321225694605,123.6321225694605,-33.6321225694605,-33.6321225694605,266.0740899379657,-3.109960720183153
2024-01-01 02:00:00+00:00,126.54876268414232,126.54876268414232,-36.54876268414232,-36.54876268414232,268.3250539946888,-3.1149017752468353
2024-01-01 02:15:00+00:00,129.4687682050491,129.4687682050491,-39.46876820504909,-39.46876820504909,270.656018604397,-3.1198423228779575
2024-01-01 02:30:00+00:00,132.38732418295538,132.38732418295538,-42.38732418295539,-42.38732418295539,273.09010541931843,-3.1247823627491016
2024-01-01 02:45:00+00:00,135.2989391443727,135.2989391443727,-45.2989391443727,-45.2989391443727,275.655347502208,-3.1297218945692293
2024-01-01 03:00:00+00:00,138.19716330503084,138.19716330503084,-48.19716330503085,-48.19716330503085,278.3862601001958,-3.134660917239671
2024-01-01 03:15:00+00:00,141.07419988383896,141.07419988383896,-51.07419988383895,-51.07419988383895,281.32596246377545,-3.1395994305348722
2024-01-01 03:30:00+00:00,143.92035569200794,143.92035569200794,-53.92035569200793,-53.92035569200793,284.52904432563713,-3.144537434040103
2024-01-01 03:45:00+00:00,146.72325492875927,146.72325492875927,-56.723254928759275,-56.723254928759275,288.06541369743354,-3.1494749267731095
2024-01-01 04:00:00+00:00,149.46670280637326,149.46670280637326,-59.466702806373256,-59.466702806373256,292.0253524971529,-3.154411908450129
2024-01-01 04:15:00+00:00,152.12903328986903,152.12903328986903,-62.129033289869035,-62.129033289869035,296.5258156900017,-3.159348378656432
2024-01-01 04:30:00+00:00,154.68073043800746,154.68073043800746,-64.68073043800746,-64.68073043800746,301.71733238272196,-3.1642843364243163
