timestamp_local,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2024-01-01 00:00:00,155.49079071799554,155.49079071799554,-65.49079071799555,-65.49079071799555,43.59370303742935,-3.1938892959224177
2024-01-01 00:15:00,153.4689671660601,153.4689671660601,-63.468967166060104,-63.468967166060104,50.08862034028573,-3.198821652615152
2024-01-01 00:30:00,151.25761287021504,151.25761287021504,-61.257612870215056,-61.257612870215056,55.80226878017311,-3.2037534928313107
2024-01-01 00:45:00,148.89981603799384,148.89981603799384,-58.89981603799386,-58.89981603799386,60.855151639056885,-3.2086848156468477
2024-01-01 01:00:00,146.42935080058112,146.42935080058112,-56.429350800581105,-56.429350800581105,65.36021682356596,-3.213615620668861
2024-01-01 01:15:00,143.87248348332378,143.87248348332378,-53.87248348332377,-53.87248348332377,69.41574902322441,-3.2185459075772087
2024-01-01 01:30:00,141.24968944217136,141.24968944217136,-51.249689442171366,-51.249689442171366,73.10413720417466,-3.2234756753532565
2024-01-01 01:45:00,138.5770741938289,138.5770741938289,-48.57707419382891,-48.57707419382891,76.49322351955078,-3.2284049236914143
2024-01-01 02:00:00,135.86748006083837,135.86748006083837,-45.86748006083838,-45.86748006083838,79.63850170390612,-3.2333336522133322
2024-01-01 02:15:00,133.13132251628753,133.13132251628753,-43.13132251628752,-43.13132251628752,82.58537315281762,-3.23826185996586
2024-01-01 02:30:00,130.3772137829688,130.3772137829688,-40.377213782968795,-40.377213782968795,85.37115204650007,-3.2431895465851994
2024-01-01 02:45:00,127.61242879045102,127.61242879045102,-37.61242879045102,-37.61242879045102,88.02673403316749,-3.2481167117803125
2024-01-01 03:00:00,124.84325454240391,124.84325454240391,-34.84325454240392,-34.84325454240392,90.57794213418538,-3.2530433544670814
2024-01-01 03:15:00,122.07525350242534,122.07525350242534,-32.07525350242535,-32.07525350242535,93.0465961228416,-3.2579694743908476
2024-01-01 03:30:00,119.31346651229512,119.31346651229512,-29.313466512295115,-29.313466512295115,95.45135455742707,-3.2628950711587095
2024-01-01 03:45:00,116.56257101251205,116.56257101251205,-26.562571012512045,-26.562571012512045,97.80837724799818,-3.2678201438466203
2024-01-01 04:00:00,113.82700564916948,113.82700564916948,-23.827005649169475,-23.827005649169475,100.13184781181758,-3.2727446920398506
2024-01-01 04:15:00,111.11107230286834,111.11107230286834,-21.111072302868333,-21.111072302868333,102.43438520481908,-3.277668715440086
2024-01-01 04:30:00,108.41902078864905,108.41902078864905,-18.419020788649046,-18.419020788649046,104.72736907275595,-3.2825922130432446
