,tracker_theta,aoi,surface_azimuth,surface_tilt
2020-06-21 00:00:00-07:00,,,,
2020-06-21 01:00:00-07:00,,,,
2020-06-21 02:00:00-07:00,,,,
2020-06-21 03:00:00-07:00,,,,
2020-06-21 04:00:00-07:00,,,,
2020-06-21 05:00:00-07:00,-11.364918520460904,75.99458016784132,90.0,11.364918520460897
2020-06-21 06:00:00-07:00,-51.4919497209535,29.18029674724905,90.0,51.4919497209535
2020-06-21 07:00:00-07:00,-60.0,9.983829084892912,90.0,59.99999999999999
2020-06-21 08:00:00-07:00,-52.96253436962162,0.9565611607791648,90.0,52.962534369621615
2020-06-21 09:00:00-07:00,-41.11824508693021,6.056308770537213,90.0,41.1182450869302
2020-06-21 10:00:00-07:00,-28.344157179830592,11.51883291271859,90.0,28.344157179830592
2020-06-21 11:00:00-07:00,-14.681523737055866,15.036899218325855,90.0,14.681523737055853
2020-06-21 12:00:00-07:00,-0.4568717092839423,16.301247760701074,90.0,0.4568717092836291
2020-06-21 13:00:00-07:00,13.786637756753203,15.187688016854086,270.0,13.786637756753194
2020-06-21 14:00:00-07:00,27.49807876839223,11.805996237241258,270.0,27.498078768392226
2020-06-21 15:00:00-07:00,40.33330156862782,6.4564404269505795,270.0,40.333301568627824
2020-06-21 16:00:00-07:00,52.233602362760465,0.4693366521217725,270.0,52.233602362760465
2020-06-21 17:00:00-07:00,60.0,9.211649542327025,270.0,59.99999999999999
2020-06-21 18:00:00-07:00,57.51802590874017,23.9325699256031,270.0,57.51802590874017
2020-06-21 19:00:00-07:00,13.181213313518398,73.70618624452494,270.0,13.181213313518397
2020-06-21 20:00:00-07:00,,,,
2020-06-21 21:00:00-07:00,,,,
2020-06-21 22:00:00-07:00,,,,
2020-06-21 23:00:00-07:00,,,,
2020-06-22 00:00:00-07:00,,,,
2020-06-22 01:00:00-07:00,,,,
2020-06-22 02:00:00-07:00,,,,
2020-06-22 03:00:00-07:00,,,,
2020-06-22 04:00:00-07:00,,,,
2020-06-22 05:00:00-07:00,-11.246829439703916,76.14175880284955,90.00000241483653,11.246829439703927
2020-06-22 06:00:00-07:00,-51.16069134405231,29.486871219491807,90.0,51.1606913440523
2020-06-22 07:00:00-07:00,-60.0,10.0247623968165,90.0,59.99999999999999
2020-06-22 08:00:00-07:00,-53.00874479428474,0.9774522641351783,90.0,53.00874479428474
2020-06-22 09:00:00-07:00,-41.166928277629914,6.041061621303818,90.0,41.16692827762992
2020-06-22 10:00:00-07:00,-28.395334240073577,11.510706595037705,90.0,28.395334240073577
2020-06-22 11:00:00-07:00,-14.734170635498975,15.037131960280684,90.0000020913098,14.734170635498986
2020-06-22 12:00:00-07:00,-0.5090150862805048,16.31046635474465,90.00006059387414,0.5090150862807896
2020-06-22 13:00:00-07:00,13.737247216053191,15.205637954788116,269.9999987925817,13.737247216053195
2020-06-22 14:00:00-07:00,27.453053992971405,11.831613461165364,269.99999914622634,27.45305399297141
2020-06-22 15:00:00-07:00,40.29313749856276,6.488223307753252,269.9999987925817,40.293137498562764
2020-06-22 16:00:00-07:00,52.19780110803244,0.43293015673977553,270.0,52.19780110803244
2020-06-22 17:00:00-07:00,60.0,9.162925159686392,270.0,59.99999999999999
2020-06-22 18:00:00-07:00,57.854528149616144,23.65744535340433,270.0,57.85452814961615
2020-06-22 19:00:00-07:00,13.262574203129262,73.60120169205712,270.0,13.262574203129262
2020-06-22 20:00:00-07:00,,,,
2020-06-22 21:00:00-07:00,,,,
2020-06-22 22:00:00-07:00,,,,
2020-06-22 23:00:00-07:00,,,,
2020-06-23 00:00:00-07:00,,,,
2020-06-23 01:00:00-07:00,,,,
2020-06-23 02:00:00-07:00,,,,
2020-06-23 03:00:00-07:00,,,,
2020-06-23 04:00:00-07:00,,,,
2020-06-23 05:00:00-07:00,-11.115724570629851,76.30407813290437,90.0,11.11572457062984
2020-06-23 06:00:00-07:00,-50.80110085355311,29.817494373623095,90.0,50.80110085355311
2020-06-23 07:00:00-07:00,-60.0,10.06244662513689,90.0,59.99999999999999
2020-06-23 08:00:00-07:00,-53.05853275442087,0.9924792423451201,90.0,53.05853275442087
2020-06-23 09:00:00-07:00,-41.21850995325806,6.032043369376433,90.0,41.21850995325806
2020-06-23 10:00:00-07:00,-28.44854118214599,11.509144886514175,90.0,28.44854118214599
2020-06-23 11:00:00-07:00,-14.78776846006041,15.04416046031969,90.00000120741826,14.787768460060413
2020-06-23 12:00:00-07:00,-0.5608879248806319,16.326536337424816,90.00005687055406,0.5608879248809082
2020-06-23 13:00:00-07:00,13.689343135566775,15.230293003024986,269.99999914622634,13.689343135566777
2020-06-23 14:00:00-07:00,27.410578713569954,11.863620458751004,270.0,27.41057871356995
2020-06-23 15:00:00-07:00,40.25636817484452,6.525984026509831,269.9999987925817,40.256368174844525
2020-06-23 16:00:00-07:00,52.166048400063616,0.39097580524264985,270.0,52.16604840006361
2020-06-23 17:00:00-07:00,60.0,9.11107495807336,270.0,59.99999999999999
2020-06-23 18:00:00-07:00,58.141854756999706,23.41680563770473,270.0,58.14185475699971
2020-06-23 19:00:00-07:00,13.329279616127195,73.51323900994522,270.0,13.329279616127188
2020-06-23 20:00:00-07:00,,,,
2020-06-23 21:00:00-07:00,,,,
2020-06-23 22:00:00-07:00,,,,
2020-06-23 23:00:00-07:00,,,,
2020-06-24 00:00:00-07:00,,,,
2020-06-24 01:00:00-07:00,,,,
2020-06-24 02:00:00-07:00,,,,
2020-06-24 03:00:00-07:00,,,,
2020-06-24 04:00:00-07:00,,,,
