,poa_global,poa_direct,poa_diffuse,cell_temperature,precipitable_water
2020-06-21 07:00:00+00:00,,,,,1.7000000000000002
2020-06-21 08:00:00+00:00,,,,,1.8
2020-06-21 09:00:00+00:00,,,,,1.8
2020-06-21 10:00:00+00:00,,,,,1.8
2020-06-21 11:00:00+00:00,,,,,1.8
2020-06-21 12:00:00+00:00,33.94574898880353,11.81431763301637,22.131431355787157,16.51962886297092,1.9
2020-06-21 13:00:00+00:00,84.3432557064226,13.21042118699891,71.13283451942368,19.625453547450928,1.9
2020-06-21 14:00:00+00:00,52.23903832629526,0.0,52.23903832629526,21.830617226350434,1.9
2020-06-21 15:00:00+00:00,189.41490167016224,21.397330310759674,168.01757135940255,27.561135801189856,1.9
2020-06-21 16:00:00+00:00,618.7308672439738,357.9936516825723,260.7372155614015,40.29669518394237,1.9
2020-06-21 17:00:00+00:00,743.7738922757878,463.0248731163275,280.74901915946026,46.49477421694411,1.9
2020-06-21 18:00:00+00:00,293.5784915476658,21.326359834744117,272.2521317129217,36.05804520749075,1.9
2020-06-21 19:00:00+00:00,178.5153433214294,13.034144649885718,165.4811986715437,33.63498992280839,2.0
2020-06-21 20:00:00+00:00,637.1682299547854,205.19874836255104,431.9694815922344,45.76935019356736,2.1
2020-06-21 21:00:00+00:00,299.8715614691321,24.593263723556543,275.2782977455755,36.236866463044926,2.2
2020-06-21 22:00:00+00:00,777.4034336310211,590.7817435791346,186.6216900518865,47.149096474723635,2.2
2020-06-21 23:00:00+00:00,156.90754578156748,10.968020342454212,145.93952543911325,30.167435157572164,2.2
2020-06-22 00:00:00+00:00,120.36626409774091,9.812181387592947,110.55408271014797,27.24425009002067,2.2
2020-06-22 01:00:00+00:00,119.18176581083759,44.396061621511194,74.7857041893264,24.45817124210094,2.4000000000000004
2020-06-22 02:00:00+00:00,40.2290237729406,15.37511110704517,24.85391266589543,20.021974996772194,2.5
2020-06-22 03:00:00+00:00,,,,,2.3000000000000003
2020-06-22 04:00:00+00:00,,,,,2.2
2020-06-22 05:00:00+00:00,,,,,2.2
2020-06-22 06:00:00+00:00,,,,,2.2
2020-06-22 07:00:00+00:00,,,,,2.2
2020-06-22 08:00:00+00:00,,,,,2.2
2020-06-22 09:00:00+00:00,,,,,2.2
2020-06-22 10:00:00+00:00,,,,,2.2
2020-06-22 11:00:00+00:00,,,,,2.1
2020-06-22 12:00:00+00:00,91.36309659327091,72.70770785646664,18.655388736804266,18.104545125625616,2.1
2020-06-22 13:00:00+00:00,630.9880414633866,602.4725213934819,28.515520069904678,33.95579408368424,2.0
2020-06-22 14:00:00+00:00,872.3098384411061,837.0637866555476,35.24605178555847,41.41994865655834,2.0
2020-06-22 15:00:00+00:00,969.8568706177213,930.929020581155,38.92785003656629,44.86631796108265,2.0
2020-06-22 16:00:00+00:00,1007.7719525822844,969.7391893277435,38.03276325454085,46.9391026489957,2.0
2020-06-22 17:00:00+00:00,1016.9964623728612,982.2569791551596,34.73948321770165,48.411004726276104,2.0
2020-06-22 18:00:00+00:00,1014.4542419983163,986.313341554431,28.140900443885357,48.92460779446557,2.1
2020-06-22 19:00:00+00:00,1009.7308634181843,982.5438449475922,27.187018470592086,48.37098003137044,2.1
2020-06-22 20:00:00+00:00,1010.5446864200145,980.6376919282485,29.90699449176595,47.799936715431905,2.2
2020-06-22 21:00:00+00:00,1009.2299879598162,973.3133440499707,35.916643909845476,47.226279842391534,2.3000000000000003
2020-06-22 22:00:00+00:00,997.7236283241137,956.216740246064,41.50688807804974,46.4550731154338,2.3000000000000003
2020-06-22 23:00:00+00:00,958.3172269298977,915.3535988794761,42.96362805042163,45.093481858524825,2.3000000000000003
2020-06-23 00:00:00+00:00,855.2000710620392,815.7872016563992,39.412869405639995,42.5744599726612,2.3000000000000003
2020-06-23 01:00:00+00:00,649.7966148517172,617.4422259162675,32.35438893544968,38.93459892759423,2.2
2020-06-23 02:00:00+00:00,111.8058278671015,90.23151678762027,21.57431107948123,23.498885514785247,2.1
2020-06-23 03:00:00+00:00,,,,,2.1
2020-06-23 04:00:00+00:00,,,,,2.1
2020-06-23 05:00:00+00:00,,,,,2.1
2020-06-23 06:00:00+00:00,,,,,2.1
2020-06-23 07:00:00+00:00,,,,,2.1
2020-06-23 08:00:00+00:00,,,,,2.1
2020-06-23 09:00:00+00:00,,,,,2.1
2020-06-23 10:00:00+00:00,,,,,2.1
2020-06-23 11:00:00+00:00,,,,,2.1
2020-06-23 12:00:00+00:00,88.1736743954635,69.36410907558894,18.80956531987455,17.863145218574815,2.1
2020-06-23 13:00:00+00:00,619.2311757038991,589.7512757301614,29.47989997373774,33.46222472292996,2.1
2020-06-23 14:00:00+00:00,864.9844883985218,829.7803087967492,35.20417960177257,44.38247449610104,2.1
2020-06-23 15:00:00+00:00,966.992248337509,928.7848286220485,38.20741971546047,51.00274450082097,2.0
2020-06-23 16:00:00+00:00,1006.0506253329097,968.5515506346036,37.49907469830612,54.83234898845461,2.0
2020-06-23 17:00:00+00:00,1015.7611957005431,980.4257426770162,35.335453023526924,54.06063070580515,2.0
2020-06-23 18:00:00+00:00,1013.5238922251245,984.0671751388875,29.45671708623707,52.216552227503556,2.0
2020-06-23 19:00:00+00:00,1007.060083508279,977.1318974349541,29.928186073324966,51.195950210117715,2.1
2020-06-23 20:00:00+00:00,1008.5789532223587,976.8683821891624,31.71057103319624,50.500591703049544,2.1
2020-06-23 21:00:00+00:00,1009.8115919193355,973.3898656784146,36.42172624092082,50.627015721839214,2.2
