Timestamp (UTC),poa_global,poa_direct,poa_diffuse,cell_temperature,precipitable_water
2024-01-01 06:00:00,,,,0.0,0.5
2024-01-01 06:15:00,,,,0.0,0.5
2024-01-01 06:30:00,,,,0.0,0.5
2024-01-01 06:45:00,,,,0.0,0.5
2024-01-01 07:00:00,,,,0.0,0.5
2024-01-01 07:15:00,,,,0.0,0.5
2024-01-01 07:30:00,,,,0.0,0.5
2024-01-01 07:45:00,,,,0.0,0.5
2024-01-01 08:00:00,,,,0.0,0.5
2024-01-01 08:15:00,,,,0.0,0.5
2024-01-01 08:30:00,,,,0.0,0.5
2024-01-01 08:45:00,,,,0.0,0.5
2024-01-01 09:00:00,,,,0.0,0.5
2024-01-01 09:15:00,,,,0.0,0.5
2024-01-01 09:30:00,,,,0.0,0.5
2024-01-01 09:45:00,,,,0.0,0.5
2024-01-01 10:00:00,,,,0.0,0.5
2024-01-01 10:15:00,,,,0.0,0.5
2024-01-01 10:30:00,,,,0.0,0.5
2024-01-01 10:45:00,,,,0.0,0.5
2024-01-01 11:00:00,,,,0.0,0.5
2024-01-01 11:15:00,,,,0.0,0.5
2024-01-01 11:30:00,,,,0.0,0.5
2024-01-01 11:45:00,,,,0.0,0.5
2024-01-01 12:00:00,,,,0.0,0.5
2024-01-01 12:15:00,,,,0.0,0.5
2024-01-01 12:30:00,0.0,0.0,0.0,0.0,0.5
2024-01-01 12:45:00,0.0,0.0,0.0,-5.3,0.5
2024-01-01 13:00:00,0.0,0.0,0.0,-5.2,0.5
2024-01-01 13:15:00,0.0,0.0,0.0,-5.2,0.5
2024-01-01 13:30:00,0.0,0.0,0.0,-5.1,0.5
2024-01-01 13:45:00,164.4359291792264,155.59045144545647,8.845477733769938,-4.9,0.5
2024-01-01 14:00:00,266.3277967824263,250.54967044049158,15.778126341934694,-0.6226824210134536,0.5
2024-01-01 14:15:00,333.93801873302726,311.752245170647,22.185773562380287,2.065770673265579,0.5
2024-01-01 14:30:00,376.99080029317605,348.99707481012825,27.993725483047793,3.983335502820527,0.5
2024-01-01 14:45:00,13.040978565569242,0.0,13.040978565569242,5.277045023198252,0.5
2024-01-01 15:00:00,16.899599905525694,0.0,16.899599905525694,-3.768707992948652,0.5
2024-01-01 15:15:00,19.255949703647232,0.0,19.255949703647232,-3.4706838759901,0.5
2024-01-01 15:30:00,24.440170600619798,0.0,24.440170600619798,-3.3108233486523924,0.5
2024-01-01 15:45:00,40.14625938297007,0.0,40.14625938297007,-2.9791238034595113,0.5
2024-01-01 16:00:00,48.91400369684377,0.0,48.91400369684377,-2.4620925702437937,0.5
2024-01-01 16:15:00,49.96908137643087,0.0,49.96908137643087,-2.035418725521102,0.6000000000000001
2024-01-01 16:30:00,53.66841311330912,0.0,53.66841311330912,-1.9081416396993052,0.6000000000000001
2024-01-01 16:45:00,75.98850659284284,0.0,75.98850659284284,-1.6366117997838354,0.6000000000000001
2024-01-01 17:00:00,68.79783206822937,0.0,68.79783206822937,-0.9695938778365301,0.6000000000000001
2024-01-01 17:15:00,86.75452568260047,0.0,86.75452568260047,-0.952265215216204,0.6000000000000001
2024-01-01 17:30:00,96.7460836326247,0.0,96.7460836326247,-0.33373637428584546,0.6000000000000001
2024-01-01 17:45:00,92.46248442693977,0.0,92.46248442693977,0.015753186991227963,0.6000000000000001
2024-01-01 18:00:00,83.35346395799073,0.0,83.35346395799073,0.07002073129087094,0.6000000000000001
2024-01-01 18:15:00,85.12041852384037,0.0,85.12041852384037,-0.08740911826369668,0.6000000000000001
2024-01-01 18:30:00,106.17151914940396,0.0,106.17151914940396,0.05525445537570927,0.6000000000000001
